9952160761001401,.b10012242,"Adeline Genee, a lifetime of ballet under six reigns; based on the personal reminiscences of Dame Adeline Genee-Isitt, D.B.E.","London, A. and C. Black [c1958]"
9952161393401401,.b10036404,"The proclamations of the Tudor Queens / Frederic A. Youngs, Jr.","Cambridge ; New York : Cambridge University Press, 1976."
9952161501501401,.b1001715x,Imperialism in the ancient world : the Cambridge University research seminar in ancient history / edited by P. D. A. Garnsey and C. R. Whittaker.,"Cambridge [Eng.] ; New York : Cambridge University Press, 1978."
9952161506801401,.b10028389,Policy analysis : a political and organizational perspective / W. I. Jenkins.,"New York : St. Martin's Press, c1978"
9952161573101401,.b10065908,Life in the Soviet Union : a report card on socialism.,"Dallas, Texas : The Fisher Institute , 1979."
9952161586401401,.b10059817,"County and court : government and politics in Norfolk, 1558-1603 / by A. Hassell Smith.","Oxford : Clarendon Press, 1974."
9952161648701401,.b10030712,My country and the world / [by] Andrei D. Sakharov ; translated by Guy V. Daniels.,"New York : Vintage Books, 1975."
9952161697201401,.b10045028,"Changing characteristics of the Negro population, by Daniel O. Price. Prepared in cooperation with the Social Science Research Council.","[Washington] U.S. Bureau of the Census; [for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1969]"
9952161908001401,.b10069525,Liberty and property : political ideology in eighteenth-century Britain / H. T. Dickinson.,"New York : Holmes and Meier Publishers, 1977."
9952162078701401,.b10112881,"The Bournonville school / Kirsten Ralov, editor.","New York : lAudience Arts, c1979."
9952162288901401,.b10130056,"A continent astray : Europe, 1970-1978 / Walter Laqueur.","New York : Oxford University Press, 1979."
9952162291601401,.b10124706,"The liberal mind, 1914-1929 / Michael Bentley.","Cambridge ; New York : Cambridge University Press, 1977."
9952162373301401,.b10158704,"Voters, parties, and leaders; the social fabric of British politics. By J. Blondel.","Penguin Books, 1965."
9952162398901401,.b10151035,Glimpses of the theatre and dance. Introductory letter by Michel de Ghelderode.  [Translated from the French by Lily and Baird Hastings.,New York] Kamin Publishers [1953]
9952162400001401,.b10150912,From ragtime to swingtime : the story of the house of Witmark / by Isidore Witmark and Isaac Goldberg.,"New York : L. Furman, inc., c1939."
9952162776601401,.b10206905,An introduction to prehistoric archeology [by] Frank Hole [and] Robert F. Heizer.,"New York, Holt, Rinehart and Winston [1965]"
9952163562201401,.b1028901x,The history of political thought : a short introduction.,"London : Dent ; Totowa, N.J. : Rowman and Littlefield, c1977."
9952163636001401,.b10279829,Politics in Europe: structures and processes in some postindustrial democracies. Edited by Martin O. Heisler.,"New York, McKay [1973, c1974]"
9952164007401401,.b10341845,Biography / Alan Shelston.,"London : Methuen ; New York : distributed by Harper & Row, 1977."
9952164210201401,.b10366878,The Cambridge ancient history : plates to volumes / edited by I.E.S. Edwards ... [et al.].,"Cambridge [Eng.] ; New York : Cambridge University Press, 1977-<1994   >"
9952164272001401,.b10354864,"The growth of responsible government, from James the First to Victoria / by A.H. Dodd.","London : Routledge & Kegan Paul, c1956."
9952164791501401,.b10447568,Escape from predicament : neo-Confucianism and China's evolving political culture / Thomas A. Metzger.,"New York : Columbia University Press, 1977."
9952165550201401,.b10496543,The government and politics of India [by] W. H. Morris-Jones.,"London, Hutchinson, 1971."
9952166393101401,.b10624156,Der kunstlerische tanz unserer zeit. Mit 105 grossen bildseiten.,"Konigstein im Taunus & Leipzig, K. R. Langewiesche, 1935."
9952166417501401,.b10613109,"Invitation to dance, by Walter Terry ...","New York, A. S. Barnes & company [c1942]"
9952166549001401,.b10616640,Labanotation; illustrated by Doug Anderson.,[New York] New Directions [1954]
9952166613501401,.b10628915,"The Psychological register, edited by Carl Murchison ... in cooperation with F. C. Bartlett ... Stefan Blachowski ... Karl Buhler ... [and others]","Worcester, Mass., Clark University Press; London, H. Milford, Oxford University Press, 1929-"
9952166634901401,.b10633108,Leading ladies : an affectionate look at American women of the twentieth century / by Electa Clark.,"New York : Stein and Day, 1976."
9952167295001401,.b10726020,"Systematic approaches to comparative politics, by Richard L. Merritt.","Chicago, Rand McNally [1970]"
9952167311101401,.b10720868,"The rise of English literary prose, by George Philip Krapp ...","New York [etc.] Oxford University Press, 1915."
9952167439801401,.b10731490,Modern comparative politics [by] Peter H. Merkl.,"New York, Holt, Rinehart and Winston [1970]"
9952167464701401,.b1076835x,Great Jewish personalities in modern times / edited with introductory essays by Simon Noveck.,"[Washington, B'nai B'rith Dept. of Adult Jewish Education, 1960]"
9952167559501401,.b10753527,"The Cambridge ancient history. Volume of plates I-V prepared by C. T. Seltman, M.A.","Cambridge [Eng.] The University Press, 1927-39."
9952169367501401,.b11184590,Little journeys to the homes of American authors.,"New York, London, G. P. Putnam's sons [1896]"
9952170319701401,.b11261055,The diary of Vaslav Nijinsky / translated from the Russian by Kyril FitzLyon ; edited by Joan Acocella.,"New York : Farrar, Straus and Giroux, 1999."
9952170390601401,.b11294139,The grandees; America's Sephardic elite.,"New York, Harper & Row [1971]"
9952170446301401,.b11276721,Calabashes and kings : an introduction to Hawaii / Stanley D. Porteus.,Palo Alto (Calif.) : Pacific books ; 1945.
9952171199401401,.b11367003,A theory of Japanese democracy / Nobutaka Ike.,"Boulder, Colo. : Westview Press, 1978."
9952172402601401,.b11049650,"English literature in the earlier seventeenth century, 1600-1660, by Douglas Bush.","Oxford, The Clarendon press, 1945."
9952172455301401,.b11066167,"Angevin Britain and Scandinavia, by Henry Goddard Leach...","Cambridge, Harvard University Press, 1921."
9952172537401401,.b11055650,English literature at the close of the middle ages / by E. K. Chambers.,"Oxford : The Clarendon press, 1945."
9952173189401401,.b11142352,Hidden Hawaii / Ray Riegert ; [illustrations by Jen-Ann Kirchmeier].,"Berkeley, Calif. : Ulysses Press, c1996."
9952173776801401,.b11476576,"Statesman, patriot, and general in ancient China; three biographies of the Chìn dynasty (255-206 B.C.) translated and discussed by Derk Bodde.","New Haven, Conn., American Oriental Society, 1940."
9952173779301401,.b11476205,"Four American party leaders; Henry Ward Beecher Foundation lectures, delivered at Amherst College by Charles Edward Merriam ...","New York, The Macmillan Company, 1926."
9952173779701401,.b11476138,"Statesmen of the war in retrospect, 1918-1928, by William Martin.","New York, Minton, Balch & company, 1928."
9952173785701401,.b11473071,"Eight nation makers; Southeast Asia's charismatic statesmen, by Willard A. Hanna.","New York, St. Martin's Press [1964]"
9952173793701401,.b11466583,They were San Franciscans.,"Caldwell, Id., Caxton [c1941]"
9952173864801401,.b11482710,"Classic shades; five leaders of learning and their colleges, by M. A. De Wolfe Howe.","Boston, Little, Brown, and company, 1928."
9952173866601401,.b11482515,"Reputations, ten years after, by Captain B. H. Liddell Hart.","Boston, Little, Brown, and company, 1928."
9952173882601401,.b1147130x,"Modern agitators: or, Pen portraits of living American reformers. By David W.[!] Bartlett...","New York, Auburn [N. Y.] Miller, Orton & Mulligan, 1855."
9952173895601401,.b11472017,"Memories of the men who saved the union, by Donn Piatt.","New York Chicago, Belford, Clarke & company, 1887."
9952173913501401,.b11466169,"Three men in Texas: Bedichek, Webb, and Dobie; essays by their friends in the Texas observer. Introd. by Ralph W. Yarborough.","Austin, University of Texas Press [1967]"
9952173913801401,.b11466121,In the American Grain. With an introduction by Horace Gregory.,"Norfolk, Con., New Directions [c1925]"
9952173915201401,.b11465943,"There were giants in the land; twenty-eight historic Americans as seen by twenty-eight contemporary Americans, with an introduction by Henry Morgenthau, Jr., illustrated by Charles Child.","New York, Toronto, Farrar & Rinehart, Inc. [1942]"
9952173915901401,.b11465852,"Uncommon Americans, pencil portraits of men and women who have broken the rules, by Don Seitz ...","Indianapolis, The Bobbs-Merrill Company [c1925]"
9952173939801401,.b11468245,A life of one's own; three gifted women and the men they married.,"New York, Harper & Row [1973]"
9952173943701401,.b1146947x,Female persuasion; six strong-minded women.,"New Haven, Yale Univ. Press, 1949."
9952173980101401,.b11483106,"Trail-blazers of science; life stories of some half-forgotten pioneers of modern research, by Martin Gumpert; translated from the German by Edwin L. Shuman.","New York, London, Funk & Wagnalls company, 1936."
9952173996301401,.b11491267,"Mid-Pacific, by James Norman Hall.","Boston New York, Houghton Mifflin company, 1928."
9952174116601401,.b11503907,"A gallery, by Philip Guedalla ...","New York, London, G.P. Putnam's Sons, 1924."
9952174119901401,.b11504006,Little journeys to the homes of great reformers ... written by Elbert Hubbard ...,"East Aurora, N.Y., The Royrofters, 1907."
9952174120901401,.b11503634,"Romantic rascals, by Charles J. Finger; illustrated from woodcuts by Paul Honore.","New York, R.M. McBride & Company, 1927."
9952174139001401,.b11485589,"Seven iron men, by Paul De Kruif.","New York, Harcourt, Brace and company [c1929]"
9952174145301401,.b11493045,"The Cecils of Hatfield House, an English ruling family / David Cecil.","Boston, Houghton Mifflin, 1973."
9952174167601401,.b11523992,"Heraldic design, its origins, ancient forms and modern usage.","New York, Tudor Pub. Co. [1962]"
9952174180401401,.b11521120,"The Nobel prize winners in literature, 1901-1931, by Annie Russell Marble.","New York, London, D. Appleton and company, 1932."
9952174249701401,.b11501935,"The great biographers, by Albert Britt ...","New York, London, Whittlesey House, McGraw-Hill Book Company, inc. [c1936]"
9952174262101401,.b11526920,"History of the Hebrew commonwealth, by Albert Edward Bailey and Charles Foster Kent.","New York, Chicago, C. Scribner's Sons [c1935]"
9952174285901401,.b11519836,"Portraits of the eighteenth century; historic and literary, by C.A. Sainte-Beuve ... with a critical introduction by Edmond Scherer ...","New York, London, G.P. Putnam's sons, 1905."
9952174303701401,.b11517761,Little journeys to the homes of great musicians.,"East Aurora, N.Y., The Roycrofters, 1901."
9952174342201401,.b11514759,"The artist in America; twenty-four close-ups of contemporary printmakers, by Carl Zigrosser ...","New York, A.A. Knopf, 1942."
9952174437701401,.b11522124,"Damaged souls, by Gamaliel Bradford ...","Boston, New York, Houghton Mifflin Company, 1923."
9952174446201401,.b11523438,"The Lees of Virginia; biography of a family, by Burton J. Hendrick ...","Boston, Little, Brown, and Company, 1935."
9952175366501401,.b11649835,"Conservative nationalism in nineteenth-century Russia, by Edward C. Thaden.","Seattle, University of Washington Press, 1964."
9952175486301401,.b11650631,"The end of liberalism; ideology, policy, and the crisis of public authority [by] Theodore J. Lowi.","New York, Norton [1969]"
9952175487901401,.b11649082,The stages of political development [by] A. F. K. Organski.,"New York, Knopf, 1965."
9952175501201401,.b1164901x,"English political pluralism, the problem of freedom and organization.","New York, Columbia University Press, 1941."
9952175502001401,.b11650564,Democracy and Elitism; two essays [by] Harry K. Girvetz. With selected readings.,"New York, Scribner [1967]"
9952175516901401,.b11650473,"Oracles on man and government, by John, viscount Morley...","London, Macmillan and co., limited, 1923."
9952175533101401,.b11650400,"Studies in law and politics, by Harold J. Laski.","New Haven, Yale university press, 1932."
9952175544801401,.b11650345,Man and the state; modern political ideas.,"New York, Rinehart [c1947]"
9952175734901401,.b11649549,"Patriotism and nationalism: their psychological foundations, by Leonard W. Doob.","New Haven, Yale University Press, 1964."
9952175758801401,.b11673485,"Plans for political reform in Imperial Russia, 1730-1905.","Englewood Cliffs, N.J., Prentice-Hall [1966]"
9952175770401401,.b11674581,State politics in India; [papers]. Edited by Iqbal Narain; associates: D. B. Mathur [and] Sushil Kumar.,"Meerut, Meenakshi Prakashan [1967]"
9952175774101401,.b11674398,Political communication; the public language of political elites in India and the United States [by] Satish K. Arora [and] Harold D. Lasswell.,"New York, Holt, Rinehart and Winston [1969]"
9952175774801401,.b11674350,"Modern Japanese leadership; transition and change, edited by Bernard S. Silberman and H. D. Harootunian with ten collaborating authors.","Tucson, Ariz., University of Arizona Press [1966]"
9952175793801401,.b11667850,"The European right: a historical profile. Hans Rogger and Eugen Weber, editors.","Berkeley, University of California Press, 1965."
9952175802401401,.b11668210,Democracy in England.,"London, Rockliff [1957]"
9952175803601401,.b11668155,"Ambitions and realities; British politics, 1964-70.","New York, Harper & Row [1972]"
9952175899901401,.b11674842,"Pakistan movement; historic documents, by G. Allana.","Karachi [Published by Paradise Subscription Agency] for Dept. of International Relations, University of Karachi [1967]"
9952175912401401,.b11673126,The fascisti exposed; a year of Fascist domination. Translated by E. W. Dickes.,"New York, H. Fertig, 1969."
9952175914801401,.b1167300x,French political thought in the 19th century.,"New York, Russell & Russell, 1959."
